year,cleanup,num_events,num_crews,weight_lbs
2014,Community,19,1,1430
2014,League,19,1,2891.5
2015,Community,24,4,363.2
2015,League,25,17,4888.45
2016,Community,27,6,2875.75
2016,League,19,13,3738
2017,Community,57,13,6876.5
2017,League,23,15,4010.25
2018,Community,46,10,387.05
2018,League,31,24,3904.25
2019,Community,14,11,4211.6
2019,League,28,21,3378
2019,Tahoe Blue Crew,65,12,1064.75
2020,Community,9,5,85
2020,League,14,12,1856.5
2020,Tahoe Blue Crew,346,65,5998.65
2021,League,15,5,2470
2021,Tahoe Blue Crew,374,72,12825.36
2022,League,16,9,4535
2022,Tahoe Blue Crew,318,53,6861.55
2023,League,23,13,11148.55
2023,Tahoe Blue Crew,402,75,10767.829
2024,Tahoe Blue Crew,24,10,372.02
2014,Total,38,1,4321.5
2015,Total,49,21,5251.65
2016,Total,46,19,6613.75
2017,Total,80,28,10886.75
2018,Total,77,34,4291.3
2019,Total,107,44,8654.35
2020,Total,369,81,7940.15
2021,Total,389,77,15295.36
2022,Total,334,62,11396.55
2023,Total,425,88,21916.379
2024,Total,24,10,372.02
